,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_best_rp21_6.pdb,5.099,7.261125034574434e-11,0.567,0.92,0.0,0.543,8.993,29.22,0.295,0.665,0.53,1.886,0.818,0.0,0.506,0.22,0.317,0.537,0.951,0.022
normalized_best_rp21_44.pdb,5.099,7.261125034574434e-11,0.567,0.92,0.0,0.543,8.993,29.22,0.295,0.665,0.53,1.886,0.818,0.0,0.506,0.22,0.317,0.537,0.951,0.022
normalized_best_rp21_54.pdb,5.099,7.26131377248862e-11,0.567,0.92,0.0,0.543,8.993,29.22,0.295,0.665,0.53,1.886,0.818,0.0,0.506,0.22,0.317,0.537,0.951,0.029
normalized_best_rp21_67.pdb,5.099,7.261358181409605e-11,0.567,0.92,0.0,0.543,8.993,29.22,0.295,0.665,0.53,1.886,0.818,0.0,0.506,0.22,0.317,0.537,0.951,0.029
normalized_best_rp21_3.pdb,5.099,7.261125034574434e-11,0.567,0.92,0.0,0.543,8.993,29.22,0.295,0.665,0.53,1.886,0.818,0.0,0.506,0.22,0.317,0.537,0.951,0.022
normalized_simrna_rp21.pdb,5.159,9.033818137993421e-11,0.616,0.815,0.0,0.667,8.377,31.47,0.314,0.689,0.522,1.986,0.878,0.0,0.549,0.195,0.39,0.658,0.951,0.024
normalized_3drna_rp21_1.pdb,5.31,1.5546453013826067e-10,0.63,0.614,0.645,0.634,8.429,27.07,0.55,0.68,0.496,1.724,0.752,0.0,0.726,0.585,0.61,0.707,1.0,0.505
normalized_best_rp21_41.pdb,5.345,1.7642221017410975e-10,0.649,0.881,0.0,0.748,8.237,27.49,0.296,0.679,0.564,1.934,0.897,0.0,0.518,0.195,0.366,0.61,0.902,0.517
normalized_best_rp21_52.pdb,5.504,3.100112389020637e-10,0.648,0.881,0.0,0.73,8.495,26.8,0.29,0.657,0.554,1.844,0.862,0.0,0.518,0.171,0.317,0.683,0.902,0.498
normalized_best_rp21_35.pdb,5.506,3.1217201046374043e-10,0.624,0.846,0.0,0.698,8.825,28.37,0.316,0.672,0.571,1.891,0.896,0.0,0.543,0.22,0.39,0.683,0.878,0.527
normalized_best_rp21_87.pdb,5.692,5.977652262068034e-10,0.553,0.92,,0.47,10.287,36.24,0.208,0.558,0.536,1.69,0.577,0.0,0.494,0.146,0.293,0.61,0.927,0.423
normalized_best_rp21_82.pdb,5.692,5.977652262068034e-10,0.553,0.92,,0.47,10.287,36.24,0.208,0.558,0.536,1.69,0.577,0.0,0.494,0.146,0.293,0.61,0.927,0.423
normalized_best_rp21_53.pdb,6.099,2.3917377522941763e-09,0.729,0.846,0.381,0.8,8.367,27.74,0.305,0.715,0.635,1.612,0.901,0.0,0.598,0.244,0.512,0.78,0.854,0.578
normalized_best_rp21_59.pdb,6.39,6.238670413605263e-09,0.643,0.881,0.0,0.667,9.933,26.81,0.222,0.65,0.623,1.736,0.909,0.0,0.469,0.195,0.317,0.463,0.902,0.436
normalized_3drna_rp21_5.pdb,6.481,8.387210426175074e-09,0.575,0.647,0.316,0.613,11.27,29.54,0.482,0.696,0.626,1.704,0.63,0.0,0.658,0.463,0.585,0.756,0.829,0.446
normalized_best_rp21_33.pdb,6.541,1.0165611574741718e-08,0.642,0.881,0.0,0.668,10.196,29.87,0.279,0.655,0.646,1.729,0.963,0.0,0.463,0.22,0.342,0.463,0.829,0.466
normalized_best_rp21_49.pdb,6.866,2.841066232273093e-08,0.648,0.836,0.0,0.708,10.593,28.82,0.273,0.656,0.726,1.881,0.875,0.0,0.408,0.171,0.342,0.415,0.707,0.478
normalized_best_rp21_43.pdb,7.238,8.867901235554143e-08,0.623,0.881,0.0,0.657,11.627,31.24,0.289,0.658,0.732,1.808,0.827,0.0,0.5,0.244,0.39,0.561,0.805,0.018
normalized_best_rp21_58.pdb,7.238,8.867901235554143e-08,0.623,0.881,0.0,0.657,11.627,31.24,0.289,0.658,0.732,1.808,0.827,0.0,0.5,0.244,0.39,0.561,0.805,0.018
normalized_best_rp21_19.pdb,7.238,8.868927564575912e-08,0.623,0.881,0.0,0.657,11.627,31.24,0.289,0.658,0.732,1.808,0.826,0.0,0.5,0.244,0.39,0.561,0.805,0.018
normalized_best_rp21_8.pdb,7.238,8.867901235554143e-08,0.623,0.881,0.0,0.657,11.627,31.24,0.289,0.658,0.732,1.808,0.827,0.0,0.5,0.244,0.39,0.561,0.805,0.018
normalized_best_rp21_23.pdb,7.238,8.868918960347472e-08,0.623,0.881,0.0,0.657,11.627,31.24,0.289,0.658,0.732,1.808,0.826,0.0,0.5,0.244,0.39,0.561,0.805,0.018
normalized_best_rp21_55.pdb,7.238,8.868918960347472e-08,0.623,0.881,0.0,0.657,11.627,31.24,0.289,0.658,0.732,1.808,0.826,0.0,0.5,0.244,0.39,0.561,0.805,0.018
normalized_3drna_rp21_2.pdb,7.256,9.339228151938883e-08,0.513,0.614,0.258,0.543,14.147,32.19,0.472,0.605,0.782,2.027,0.68,0.0,0.64,0.463,0.634,0.683,0.78,0.44
normalized_best_rp21_46.pdb,9.017,1.150084670276108e-05,0.667,0.846,0.0,0.728,13.525,29.79,0.279,0.633,0.981,1.817,1.007,0.0,0.427,0.244,0.366,0.463,0.634,0.244
normalized_best_rp21_60.pdb,9.038,1.2115016690794622e-05,0.63,0.881,0.0,0.657,14.347,28.17,0.208,0.654,0.915,1.712,0.896,0.0,0.402,0.195,0.317,0.463,0.634,0.408
normalized_best_rp21_71.pdb,10.846,0.0006460892446122912,0.486,0.404,,0.603,22.315,29.17,0.162,0.603,1.158,2.176,0.842,0.0,0.299,0.122,0.22,0.317,0.537,0.039
normalized_trrosettarna_rp21_5.pdb,11.391,0.001780772271755493,0.224,0.0,0.0,0.371,50.943,52.53,0.118,0.689,1.282,2.113,0.2,0.0,0.287,0.146,0.195,0.342,0.463,0.504
