,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rnajp_8do6_j.pdb,12.737,0.7288703733101893,0.605,,,0.667,21.039,32.53,0.14,,1.308,1.148,0.242,0.0,0.269,0.192,0.231,0.269,0.385,0.0
normalized_rhofold_8do6_j.pdb,13.501,0.8493749473522108,0.605,,,0.605,22.3,62.76,0.137,,1.439,0.798,0.271,0.0,0.25,0.192,0.231,0.269,0.308,0.597
normalized_rnacomposer_8do6_j.pdb,23.011,0.9999999998667078,0.558,,,0.624,41.226,31.17,0.148,,2.363,1.226,0.43,0.0,0.279,0.154,0.269,0.308,0.385,0.669
normalized_alphafold3_8do6_j.pdb,28.887,1.0,0.587,,,0.65,49.2,27.01,0.122,,3.007,1.484,0.693,0.0,0.26,0.154,0.231,0.308,0.346,0.702
