,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_6w5c_b.pdb,18.415,0.34678405675067403,0.62,0.68,,0.621,29.712,60.26,0.223,,1.906,1.193,0.615,0.0,0.215,0.12,0.18,0.26,0.3,0.592
normalized_rnacomposer_6w5c_b.pdb,28.29,0.9999998230296401,0.369,0.0,,0.484,76.749,30.01,0.233,,2.88,1.801,0.799,0.0,0.21,0.12,0.18,0.24,0.3,0.479
normalized_rnajp_6w5c_b.pdb,29.423,0.9999999947209424,0.405,0.0,,0.533,72.735,28.41,0.168,,2.992,1.788,1.196,0.0,0.25,0.14,0.22,0.28,0.36,0.001
normalized_alphafold3_6w5c_b.pdb,32.27,0.9999999999998596,0.508,0.0,,0.639,63.524,20.64,0.233,,3.283,1.839,1.476,0.0,0.255,0.14,0.22,0.28,0.38,0.556
