,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_7jrs_b.pdb,11.721,0.0,0.722,0.796,0.0,0.731,16.24,46.22,0.459,,1.167,1.139,2.243,0.0,0.362,0.085,0.233,0.465,0.667,0.617
normalized_alphafold3_7jrs_b.pdb,19.618,2.220446049250313e-16,0.862,0.835,0.791,0.878,22.767,9.86,0.34,,2.04,0.922,5.768,0.0,0.273,0.147,0.225,0.326,0.395,0.786
normalized_rnacomposer_7jrs_b.pdb,23.158,3.749364152483281e-10,0.822,0.976,0.645,0.779,28.16,17.96,0.268,,2.394,0.907,3.035,0.0,0.244,0.093,0.194,0.31,0.38,0.665
normalized_rnajp_7jrs_b.pdb,24.487,3.0307764520287606e-08,0.849,0.976,0.745,0.808,28.858,18.61,0.267,,2.469,0.874,4.712,0.0,0.242,0.116,0.209,0.295,0.349,0.04
