,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_8ff5_m.pdb,13.033,1.3655518626976004e-07,0.483,1.0,0.0,0.459,26.956,73.45,0.233,,1.333,1.034,0.325,0.0,0.325,0.079,0.191,0.444,0.587,0.526
normalized_rnajp_8ff5_m.pdb,46.942,1.0,0.376,0.0,0.0,0.511,124.83,42.26,0.104,,4.775,1.724,0.77,0.0,0.139,0.111,0.111,0.127,0.206,0.073
normalized_rnacomposer_8ff5_m.pdb,47.583,1.0,0.295,0.0,0.0,0.397,161.044,42.3,0.088,,4.858,1.67,0.684,0.0,0.131,0.095,0.111,0.127,0.191,0.482
normalized_alphafold3_8ff5_m.pdb,54.279,1.0,0.29,0.0,,0.401,187.373,40.18,0.098,,5.463,1.956,0.896,0.0,0.131,0.095,0.111,0.127,0.191,0.478
