,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rnajp_4v4p_b1.pdb,20.603,0.09512467759999838,0.577,0.692,,0.54,35.721,33.38,0.407,,2.105,1.547,0.756,0.0,0.148,0.076,0.121,0.151,0.242,0.066
normalized_alphafold3_4v4p_b1.pdb,25.54,0.9240634706638583,0.514,0.692,,0.441,49.66,26.94,0.318,,2.588,1.535,0.819,0.0,0.167,0.061,0.121,0.197,0.288,0.579
normalized_rnacomposer_4v4p_b1.pdb,26.141,0.9613415962328244,0.491,0.707,,0.411,53.293,32.2,0.312,,2.672,1.498,0.593,0.0,0.167,0.076,0.106,0.182,0.303,0.557
normalized_rhofold_4v4p_b1.pdb,30.774,0.99999289648609,0.178,0.27,,0.206,173.176,65.75,0.144,,3.11,2.301,0.279,0.0,0.148,0.076,0.121,0.167,0.227,0.22
