,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_6s8e_u.pdb,10.551,5.665080466710215e-05,0.492,,,0.492,21.429,78.53,0.141,,1.072,0.926,0.346,0.0,0.267,0.091,0.114,0.273,0.591,0.529
normalized_rnajp_6s8e_u.pdb,48.435,1.0,0.374,,,0.463,129.665,34.9,0.117,,4.808,1.683,1.227,0.0,0.165,0.136,0.136,0.159,0.227,0.019
normalized_alphafold3_6s8e_u.pdb,49.626,1.0,0.556,,,0.662,89.327,25.75,0.116,,4.942,1.72,1.866,0.0,0.171,0.136,0.159,0.182,0.204,0.672
normalized_rnacomposer_6s8e_u.pdb,49.651,1.0,0.28,,,0.356,177.289,43.79,0.122,,4.965,1.758,0.773,0.0,0.171,0.114,0.114,0.182,0.273,0.538
