,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_6o1o_m.pdb,16.638,0.8014142959017657,0.414,,,0.414,40.185,70.8,0.136,,1.74,1.051,0.417,0.0,0.188,0.139,0.194,0.194,0.222,0.565
normalized_rnacomposer_6o1o_m.pdb,31.409,1.0,0.27,,,0.338,116.469,45.99,0.157,,3.125,1.622,0.267,0.0,0.271,0.139,0.194,0.278,0.472,0.486
normalized_alphafold3_6o1o_m.pdb,37.886,1.0,0.439,,,0.488,86.271,36.32,0.151,,3.756,1.707,0.501,0.0,0.194,0.167,0.194,0.194,0.222,0.541
normalized_rnajp_6o1o_m.pdb,38.479,1.0,0.176,,,0.218,218.425,48.88,0.156,,3.794,1.807,0.364,0.0,0.194,0.139,0.194,0.194,0.25,0.0
