,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_6zj3_ll.pdb,24.943,0.036789433153113116,0.359,0.0,0.0,0.513,69.471,59.22,0.23,,2.639,2.144,1.199,0.0,0.169,0.087,0.109,0.206,0.272,0.317
normalized_rnajp_6zj3_ll.pdb,27.678,0.3938382590717744,0.333,0.0,,0.468,82.997,31.42,0.226,,2.817,2.233,2.843,0.0,0.166,0.076,0.12,0.206,0.261,0.008
normalized_rnacomposer_6zj3_ll.pdb,28.191,0.5061136690987634,0.268,0.0,0.0,0.394,105.168,34.94,0.241,,2.884,2.294,1.806,0.0,0.16,0.076,0.12,0.185,0.261,0.312
normalized_alphafold3_6zj3_ll.pdb,28.846,0.6478567379805802,0.343,0.0,0.0,0.475,84.027,24.49,0.234,,2.953,2.259,3.407,0.0,0.163,0.109,0.12,0.185,0.239,0.332
