,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_8sqj_p.pdb,31.288,1.0,0.543,,,0.645,57.662,36.0,0.187,,3.128,1.505,0.39,0.0,0.422,0.25,0.375,0.5,0.562,0.734
normalized_rnacomposer_8sqj_p.pdb,31.51,1.0,0.447,,,0.538,70.546,31.48,0.167,,3.128,1.615,0.451,0.0,0.359,0.25,0.344,0.406,0.438,0.664
normalized_alphafold3_8sqj_p.pdb,31.599,1.0,0.584,,,0.672,54.076,17.7,0.195,,3.167,1.373,0.814,0.0,0.398,0.188,0.344,0.5,0.562,0.843
normalized_rnajp_8sqj_p.pdb,31.603,1.0,0.542,,,0.641,58.297,31.72,0.185,,3.167,1.631,0.368,0.0,0.32,0.188,0.344,0.344,0.406,0.093
