,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_8bd6_b.pdb,7.876,0.0,0.511,0.487,0.049,0.583,15.408,60.01,0.613,,0.804,1.765,2.199,0.0,0.056,0.026,0.047,0.064,0.086,0.435
normalized_alphafold3_8bd6_b.pdb,33.646,3.674838211509268e-14,0.703,0.803,0.118,0.698,47.835,28.38,0.211,,3.429,1.61,6.805,0.0,0.059,0.039,0.051,0.064,0.082,0.46
normalized_rnacomposer_8bd6_b.pdb,39.467,1.0804034936917617e-05,0.492,0.302,0.0,0.607,80.292,35.25,0.17,,4.011,2.079,4.524,0.0,0.054,0.026,0.034,0.06,0.094,0.312
