,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_6zvi_f.pdb,15.315,0.6136586954863121,,,,,,85.06,0.128,,1.46,1.096,0.041,0.0,0.336,0.114,0.229,0.343,0.657,0.49
normalized_rnacomposer_6zvi_f.pdb,21.953,0.9999651185343548,,,,,,44.41,0.118,,2.245,1.093,0.203,0.0,0.293,0.114,0.229,0.343,0.486,0.574
normalized_rnajp_6zvi_f.pdb,32.262,1.0,,,,,,46.85,0.092,,3.227,1.521,0.21,0.0,0.193,0.114,0.143,0.229,0.286,0.0
normalized_alphafold3_6zvi_f.pdb,38.346,1.0,,,,,,43.3,0.121,,3.833,1.873,0.398,0.0,0.186,0.143,0.143,0.2,0.257,0.568
