,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_6lsh_b.pdb,2.75,0.28924429891933473,0.802,,,0.802,3.43,54.41,0.283,,0.207,0.587,0.849,0.0,0.0,0.0,0.0,0.0,0.0,0.746
normalized_rnacomposer_6lsh_b.pdb,6.834,0.9566404988578285,0.204,,,0.204,33.479,39.76,0.047,,0.68,1.481,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.41
normalized_alphafold3_6lsh_b.pdb,8.342,0.9946229799061936,0.589,,,0.722,14.156,30.59,0.292,,0.817,1.503,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.687
normalized_rnajp_6lsh_b.pdb,,,0.474,,,0.53,,,0.145,,,,0.095,0.0,0.575,0.3,0.4,0.6,1.0,0.0
