,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rnajp_8j12_c.pdb,25.178,7.630007736736388e-13,0.627,0.636,0.267,0.647,40.136,26.69,0.276,,2.606,1.665,3.963,0.0,0.076,0.045,0.058,0.077,0.123,0.031
normalized_rhofold_8j12_c.pdb,28.033,2.0559145053056227e-08,0.064,0.0,0.0,0.12,437.814,60.24,0.164,,2.845,2.798,0.782,0.0,0.055,0.026,0.039,0.065,0.09,0.08
normalized_rnacomposer_8j12_c.pdb,33.16,0.004177225108556337,0.545,0.607,0.107,0.56,60.844,29.76,0.181,,3.377,1.792,2.734,0.0,0.068,0.045,0.058,0.071,0.097,0.404
normalized_alphafold3_8j12_c.pdb,34.729,0.03869009610473306,0.591,0.524,0.0,0.64,58.806,20.91,0.251,,3.566,1.886,4.895,0.0,0.077,0.045,0.071,0.084,0.11,0.445
