,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_8e0f_d.pdb,7.571,0.0002677372494873653,0.65,,,0.65,11.647,54.06,0.234,,0.778,0.769,0.328,0.0,0.578,0.281,0.469,0.719,0.844,0.687
normalized_alphafold3_8e0f_d.pdb,27.097,0.9999999999999242,0.645,,,0.747,42.043,17.83,0.203,,2.793,1.455,1.407,0.0,0.422,0.25,0.344,0.5,0.594,0.817
normalized_rnajp_8e0f_d.pdb,27.204,0.9999999999999516,0.559,,,0.671,48.664,25.74,0.131,,2.791,1.573,0.805,0.0,0.352,0.188,0.281,0.406,0.531,0.002
normalized_rnacomposer_8e0f_d.pdb,27.465,0.999999999999984,0.411,,,0.52,66.859,34.45,0.141,,2.818,1.742,0.59,0.0,0.391,0.188,0.281,0.531,0.562,0.586
