,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_7ozq_e.pdb,1.694,8.667122575189978e-12,0.811,0.943,0.0,0.851,2.09,42.13,0.445,,0.17,0.893,0.466,0.0,0.852,0.5,0.906,1.0,1.0,0.765
normalized_alphafold3_7ozq_e.pdb,8.986,0.0037266170130745846,0.765,0.853,0.408,0.772,11.739,11.65,0.353,,0.967,1.279,0.782,0.0,0.648,0.438,0.688,0.719,0.75,0.712
normalized_rnacomposer_7ozq_e.pdb,9.092,0.004431405593252891,0.769,0.894,0.333,0.78,11.815,19.31,0.433,,0.987,1.327,0.57,0.0,0.695,0.625,0.688,0.719,0.75,0.691
normalized_rnajp_7ozq_e.pdb,,,0.596,0.0,,0.78,,,0.218,,,,0.465,0.0,0.312,0.188,0.281,0.312,0.469,0.047
