,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_6o7e_g.pdb,4.044,4.68970493178178e-06,0.504,,,0.596,8.024,65.33,0.179,,0.355,0.794,0.134,0.0,0.611,0.222,0.407,0.815,1.0,0.639
normalized_rnacomposer_6o7e_g.pdb,27.194,1.0,0.504,,,0.569,53.961,31.13,0.142,,2.783,1.494,0.321,0.0,0.269,0.222,0.259,0.259,0.333,0.548
normalized_rnajp_6o7e_g.pdb,31.938,1.0,0.504,,,0.582,63.375,39.71,0.126,,3.134,1.708,0.324,0.0,0.269,0.148,0.259,0.259,0.407,0.034
normalized_alphafold3_6o7e_g.pdb,33.106,1.0,0.514,,,0.612,64.347,29.22,0.143,,3.277,1.771,0.414,0.0,0.269,0.185,0.259,0.259,0.37,0.596
