,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_7eu0_o.pdb,7.184,0.00011803779685520821,0.533,,,0.533,13.479,76.93,0.141,,0.674,1.023,0.091,0.0,0.305,0.125,0.156,0.344,0.594,0.505
normalized_rnacomposer_7eu0_o.pdb,29.587,1.0,0.579,,,0.701,51.141,45.9,0.192,,2.908,1.507,0.42,0.0,0.211,0.125,0.156,0.219,0.344,0.568
normalized_rnajp_7eu0_o.pdb,36.068,1.0,0.514,,,0.669,70.135,51.0,0.126,,3.478,1.693,0.591,0.0,0.203,0.125,0.156,0.219,0.312,0.005
normalized_alphafold3_7eu0_o.pdb,37.074,1.0,0.496,,,0.57,74.795,39.7,0.17,,3.573,1.643,1.325,0.0,0.242,0.156,0.219,0.281,0.312,0.598
