,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rnacomposer_7xlt_b.pdb,15.562,0.33232559362914627,0.797,,,0.797,19.516,13.36,0.132,,1.752,0.504,0.893,0.0,0.194,0.125,0.15,0.2,0.3,0.738
normalized_rhofold_7xlt_b.pdb,23.773,0.9999817537132023,0.435,,,0.453,54.634,83.36,0.147,,2.422,1.248,0.25,0.0,0.206,0.125,0.175,0.225,0.3,0.481
normalized_alphafold3_7xlt_b.pdb,25.23,0.999999604672971,0.644,,,0.713,39.153,11.91,0.257,,2.455,1.472,0.84,0.0,0.456,0.2,0.375,0.6,0.65,0.696
normalized_rnajp_7xlt_b.pdb,35.221,1.0,0.693,,,0.769,50.796,21.79,0.165,,3.497,1.151,0.242,0.0,0.338,0.175,0.275,0.425,0.475,0.003
