,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_7ljy_b.pdb,4.848,0.0,0.752,0.906,0.408,0.705,6.442,42.66,0.485,,,,1.75,0.0,0.559,0.184,0.382,0.684,0.987,0.611
normalized_rnacomposer_7ljy_b.pdb,6.518,0.0,0.762,0.923,0.289,0.726,8.556,27.38,0.387,,,,1.722,0.0,0.441,0.145,0.303,0.513,0.803,0.633
normalized_rnajp_7ljy_b.pdb,7.628,0.0,0.817,0.906,0.0,0.815,9.332,27.41,0.385,,,,2.554,0.0,0.365,0.118,0.25,0.395,0.697,0.091
normalized_alphafold3_7ljy_b.pdb,8.353,0.0,0.83,0.906,0.408,0.819,10.06,18.66,0.365,,,,2.835,0.0,0.418,0.21,0.276,0.474,0.711,0.685
