,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_alphafold3_6zdq_c.pdb,9.416,6.727951529228449e-14,0.786,0.845,0.577,0.78,11.981,22.26,0.343,,1.01,1.086,1.448,0.0,0.439,0.246,0.308,0.523,0.677,0.745
normalized_rnajp_6zdq_c.pdb,12.909,2.371362156639023e-08,0.641,0.693,0.0,0.652,20.141,28.99,0.245,,1.387,1.247,1.337,0.0,0.304,0.139,0.277,0.354,0.446,0.11
normalized_rnacomposer_6zdq_c.pdb,18.061,0.004681728247930339,0.531,0.652,0.0,0.525,34.022,36.15,0.236,,1.884,1.555,0.782,0.0,0.285,0.139,0.215,0.323,0.462,0.476
normalized_rhofold_6zdq_c.pdb,21.858,0.3123113476168458,0.375,0.172,0.0,0.554,58.364,64.61,0.211,,2.333,1.952,0.494,0.0,0.296,0.092,0.169,0.4,0.523,0.424
